Club
9 de Julio Morteros
Aldosivi
Alianza de Cutral Co
All Boys
Altos Horno Zapla
Alvarado Mar del Plata
Americo Tesorieri La Rioja
Andino La Rioja
Argentino de Merlo
Argentino de Quilmes
Argentino de Rosario
Argentinos Juniors
Arsenal
Atlas
Atlético Lugano
Atlético Paraná
Atlético Rafaela
Atlético Tucumán
Banfield
Belgrano
Belgrano de Santa Rosa
Berazategui
Boca
Boca Unidos
Brown de Adrogué
CAI
Cañuelas
Central Ballester
Central Córdoba
Central Córdoba Santiago del Estero
Centro Español
Chacarita
Chaco For Ever
Cipoletti
Claypole
Club
Colón
Concepción FC
Crucero del Norte
Def. Ramallo (Villa Ramallo)
Defensa y Justicia
Defensores de Cambaceres
Defensores Unidos
Deportivo Laferrere
Deportivo Madryn
Deportivo Maipú Mendoza
Deportivo Muñiz
Deportivo Paraguayo
Deportivo Roca
Dock Sud
Douglas Haig
El Porvenir
Estudiantes La Plata
Excursionistas
Ferro
Ferro General Pico
Ferrocarril Midland
General Lamadrid
Gimnasia CDu
Gimnasia Jujuy
Gimnasia La Plata
Gimnasia Mendoza
Gimnasia y Tiro de Salta
Godoy Cruz
Guaraní
Gutiérrez SC de Mendoza
Huracán
Independiente
Independiente Chivilcoy
Independiente Neuquén
Independiente Rivadavia
Instituto
Ituzaingó
JJ Urquiza
Juventud Unida
Juventud Unida de Gualeguaychú
Juventud Unida de Salta
Juventud Unida de San Luis
Lanús
Leandro N. Alem
Libertad Sunchales
Liniers
Los Andes
Luján
Mitre de Santiago del Estero
Newell's
Nueva Chicago
Olimpo
Patronato
Puerto Nuevo
Quilmes
Racing
River
Rosario Central
Sacachispas
San Jorge Tucumán
San Lorenzo
San Lorenzo de Catamarca
San Martín de Burzaco
San Martín de Tucumán
San Martín San Juan
San Miguel
San Telmo
Santamarina
Sarmiento
Sarmiento Resistencia
Sol de América de Formosa
Sp. Belgrano
Sp. Estudiantes
Sp. Patria de Formosa
Sportivo Barracas
Sportivo Las Parejas
Talleres Córdoba
Talleres Remedios
Temperley
Textil Mandiyú Corrientes
Tigre
Tiro Federal de Bahía Blanca
Tiro Federal Rosario
Unión
Unión Aconquija de Catamarca
Unión de Sunchales
Unión Villa Krause San Juan
Unón Mar del Plata
Vélez
Vélez San Ramón Santiago
Victoriano Arena
Villa Dálmine
Yupanqui
